CR_07890W_A	EFG1	CR_05390W_A	PST3	Direct
CR_07890W_A	EFG1	CR_05380C_A	YCP4	Direct
CR_07890W_A	EFG1	CR_08420W_A	CR_08420W_A	Direct
CR_07890W_A	EFG1	C5_05080W_A	GRF10	Direct
CR_07890W_A	EFG1	C1_01480C_A	RPS21	Direct
CR_07890W_A	EFG1	C6_04350C_A	FLO8	Direct
CR_07890W_A	EFG1	C2_03940C_A	SCH9	Direct
CR_07890W_A	EFG1	C3_05450C_A	C3_05450C_A	Direct
CR_07890W_A	EFG1	C2_05610C_A	RPS8A	Direct
CR_07890W_A	EFG1	C2_05620W_A	KTI11	Direct Positive
CR_07890W_A	EFG1	C2_05250C_A	AAT1	Direct
CR_07890W_A	EFG1	C2_05260W_A	BUD14	Direct
CR_07890W_A	EFG1	C5_02970W_A	DAP2	Direct
CR_07890W_A	EFG1	CR_09170C_A	SSU1	Direct
CR_07890W_A	EFG1	CR_09180W_A	CDG1	Direct
CR_07890W_A	EFG1	C2_03720W_A	PGA16	Direct
CR_07890W_A	EFG1	C2_01750C_A	C2_01750C_A	Direct
CR_07890W_A	EFG1	C4_04080C_A	PGA31	Direct
CR_07890W_A	EFG1	C1_06320W_A	C1_06320W_A	Direct
CR_07890W_A	EFG1	C1_05920W_A	C1_05920W_A	Direct
CR_07890W_A	EFG1	C4_01190W_A	CAS5	Direct
CR_07890W_A	EFG1	C7_01690W_A	C7_01690W_A	Direct
CR_07890W_A	EFG1	C7_01680C_A	C7_01680C_A	Direct
CR_07890W_A	EFG1	C7_01430C_A	C7_01430C_A	Direct
CR_07890W_A	EFG1	C3_01250W_A	PMC1	Direct
CR_07890W_A	EFG1	C3_07170C_A	C3_07170C_A	Direct
CR_07890W_A	EFG1	C1_09910C_A	C1_09910C_A	Direct
CR_07890W_A	EFG1	C1_09920W_A	VPS41	Direct
CR_07890W_A	EFG1	C1_02130C_A	GAL1	Direct Negative
CR_07890W_A	EFG1	C2_01010W_A	HGT8	Direct
CR_07890W_A	EFG1	CR_08990C_A	SLP3	Direct
CR_07890W_A	EFG1	C7_02260W_A	C7_02260W_A	Direct
CR_07890W_A	EFG1	C2_10050W_A	C2_10050W_A	Direct
CR_07890W_A	EFG1	C5_02280C_A	C5_02280C_A	Direct
CR_07890W_A	EFG1	C5_02290W_A	PDE1	Direct
CR_07890W_A	EFG1	C1_11470C_A	DPP1	Direct
CR_07890W_A	EFG1	C1_08340C_A	C1_08340C_A	Direct
CR_07890W_A	EFG1	C5_03710C_A	C5_03710C_A	Direct
CR_07890W_A	EFG1	C3_01330W_A	ZCF8	Direct
CR_07890W_A	EFG1	C3_01320C_A	SGA1	Direct
CR_07890W_A	EFG1	C6_01610W_A	ANB1	Direct
CR_07890W_A	EFG1	C3_07180C_A	BMT1	Direct
CR_07890W_A	EFG1	C7_00430W_A	C7_00430W_A	Direct
CR_07890W_A	EFG1	C7_01440W_A	C7_01440W_A	Direct
CR_07890W_A	EFG1	CR_00220W_A	CR_00220W_A	Direct
CR_07890W_A	EFG1	C6_01110W_A	FAD2	Direct
CR_07890W_A	EFG1	C1_04870W_A	SAP7	Direct
CR_07890W_A	EFG1	C3_00980W_A	FLC1	Direct
CR_07890W_A	EFG1	C5_00560W_A	C5_00560W_A	Direct
CR_07890W_A	EFG1	C2_02590W_A	ZRT2	Direct
CR_07890W_A	EFG1	C4_04010W_A	C4_04010W_A	Direct
